model,split,horizon_min,mae,rmse,mae_pat_avg,rmse_pat_avg,clarke_pct_A,clarke_pct_B,clarke_pct_C,clarke_pct_D,clarke_pct_E
main_hybrid_static_dynamic,val,30,14.600305557250977,19.718774795532227,17.46131362915039,22.521518745422362,83.65210876558989,11.156405623374907,0.008814067251333128,5.182671543783879,0.0
main_hybrid_static_dynamic,val,60,20.93641471862793,28.760093688964844,24.671813888549806,32.01208442687988,71.11850513419418,22.859283416332467,0.0727160548234983,5.931867260147195,0.017628134502666256
main_hybrid_static_dynamic,val,90,27.227359771728516,37.23822784423828,31.332578506469726,40.51001846313476,60.772993697941914,32.24406152218941,0.2820501520426601,6.617160988938346,0.08373363888766472
main_hybrid_static_dynamic,test,30,15.079854965209961,20.23583984375,18.15480339050293,23.328008613586427,82.70954950985791,13.19088005286926,0.011014428901861438,4.088556008370966,0.0
main_hybrid_static_dynamic,test,60,20.78186798095703,28.718111038208008,25.0838981628418,32.91102210998535,72.04537944707567,22.771230311708337,0.09912986011675294,5.060028637515145,0.024231743584095165
main_hybrid_static_dynamic,test,90,26.474044799804688,36.51460266113281,31.815673446655275,41.63484367370606,63.51580570547417,30.09362264566582,0.2863751514483974,5.969820464808899,0.13437603260270956
