timestep,glucose,heart_rate,basal_rate,glucose_30m_mean,glucose_60m_mean,glucose_120m_mean,glucose_60m_std,glucose_velocity,bolus_60m_sum,steps_150m_sum,heart_rate_30m_mean,insulin_on_board,carbs_on_board,hour_sin,hour_cos,glucose_low_cap,basal_coverage_24h
0,0.07223737,0.05309942,0.022937765,0.0707968,0.04652913,0.060060535,0.047208533,0.13962848,0.039360143,0.05025635,0.06339023,0.04225264,0.025653498,0.06120788,0.0416649,0.0041109542,0.037375018
1,0.09197427,0.06721927,0.040589638,0.11652111,0.051619865,0.07681053,0.07175159,0.25959045,0.048236553,0.06685145,0.07297006,0.043375447,0.036207415,0.08290246,0.05126953,0.0024648858,0.07277804
2,0.11560357,0.07453561,0.06330857,0.12436602,0.036917143,0.094276056,0.09964422,0.2577871,0.051059913,0.074386105,0.07456277,0.03814652,0.044801995,0.08303794,0.06373394,0.0031158237,0.09025038
3,0.11993389,0.07355254,0.066619374,0.13721886,0.033419047,0.0874526,0.114023656,0.23915593,0.05356948,0.07318148,0.08020906,0.043053918,0.06148404,0.081390776,0.08049921,0.0017901111,0.08864786
4,0.11168986,0.06556184,0.057467587,0.12541348,0.03448947,0.0788329,0.097953536,0.24900101,0.050284397,0.06764184,0.07842347,0.042534173,0.05824428,0.07482956,0.0728213,0.0006935061,0.075880125
5,0.11510002,0.06303078,0.048079386,0.12040221,0.035491332,0.07474605,0.089891456,0.22474016,0.04503856,0.06320431,0.07533313,0.042674378,0.054784488,0.06995495,0.06995968,0.00062713766,0.06882267
6,0.12334595,0.061671786,0.0437018,0.11886953,0.03925793,0.07494622,0.08531882,0.24382076,0.048227895,0.06190505,0.07549016,0.04216614,0.053729065,0.066653356,0.06919113,0.00051393243,0.065627314
7,0.12774147,0.06139712,0.04219293,0.122268856,0.04172644,0.076221794,0.083084285,0.19146016,0.0532573,0.059744377,0.07855885,0.045993503,0.05746879,0.06523173,0.06782732,0.0003453855,0.06275101
8,0.13178182,0.059902847,0.043413777,0.124473915,0.04367361,0.07708747,0.08227827,0.22666186,0.057324182,0.058360785,0.081244305,0.049564764,0.05649871,0.06427832,0.065655895,0.000562866,0.064194486
9,0.1349301,0.06037022,0.04456053,0.12262282,0.049316898,0.07570064,0.080366686,0.20642802,0.058237374,0.058894753,0.08154143,0.051436838,0.058317356,0.06563239,0.06399563,0.0011066175,0.06615988
10,0.13946882,0.06480493,0.044814143,0.122863315,0.052615575,0.075833246,0.076783456,0.20564862,0.05934421,0.059311315,0.08161852,0.055154253,0.056481667,0.06760598,0.06595229,0.0010589554,0.06466632
11,0.14204238,0.06910679,0.044917338,0.123467684,0.05304769,0.07735481,0.07389072,0.23206352,0.059135947,0.0608001,0.08385555,0.059946403,0.05578623,0.069819756,0.069217004,0.0015706808,0.06943765
12,0.14308937,0.07592926,0.04646247,0.12578008,0.05465196,0.08368604,0.07123897,0.2522227,0.062284436,0.060303472,0.09187144,0.06914044,0.05654427,0.07535898,0.07292273,0.0011981974,0.073713966
13,0.14549442,0.08237006,0.050368644,0.13204812,0.06010885,0.08622373,0.069863334,0.27270377,0.06635538,0.059889928,0.10274162,0.07712574,0.05922598,0.080626756,0.076753385,0.0010613281,0.079967454
14,0.15147132,0.08464664,0.054080073,0.1427175,0.069496654,0.086269476,0.069519,0.31236485,0.07179344,0.062482763,0.10984158,0.079764836,0.06150851,0.084311195,0.07958709,0.0010950759,0.08732232
15,0.1485169,0.089728184,0.054875355,0.16286993,0.07731178,0.09267182,0.06722596,0.38112795,0.0777527,0.06718899,0.116457745,0.075801924,0.06177653,0.08937299,0.08334551,0.0009612901,0.09432722
16,0.14319263,0.09275486,0.059365038,0.1754288,0.079449736,0.102012835,0.06785414,0.48125243,0.08142624,0.07388418,0.12723413,0.07984016,0.06329122,0.10049447,0.089870825,0.001426278,0.10308251
17,0.16159809,0.09707897,0.06826251,0.16434835,0.076086454,0.12517719,0.07566468,0.56381035,0.09341537,0.08137201,0.13955685,0.11381729,0.07834545,0.1157402,0.1060788,0.0017354308,0.11236
18,0.21687113,0.10481091,0.08669113,0.17468385,0.08124068,0.1528431,0.09766416,0.52066255,0.10096726,0.103124164,0.21052717,0.2166092,0.11987668,0.14390273,0.13382137,0.0019250425,0.15242934
19,0.2854571,0.14151253,0.14033596,0.25099283,0.102032125,0.1628047,0.12572493,0.7121197,0.1213002,0.15524161,0.47077128,0.36737373,0.22283569,0.18201855,0.15851128,0.00192668,0.2627306
20,0.2662331,0.17979667,0.14983182,0.22493538,0.22502835,0.16946046,0.17671409,1.3500171,0.17812856,0.20731243,0.7466021,0.44501194,0.32846528,0.20683488,0.16585797,0.002470559,0.38755363
21,0.29127756,0.17812239,0.1914337,0.6222348,0.4971384,0.1987235,0.18896696,1.1333814,0.22131953,0.16177604,0.47753388,0.18891327,0.1903764,0.15896435,0.20299992,0.0017021594,0.3186858
22,0.4923372,0.24250308,0.17374903,1.1316608,0.5676164,0.18727642,0.19428606,2.1804762,0.20332514,0.19279045,0.41662726,0.4783342,0.22048953,0.1996738,0.24479744,0.0032525137,0.16727632
23,57.215652,0.26088098,0.6130337,1.2588651,0.48237407,0.4794852,0.20540313,6.576777,0.21907724,0.29684964,0.61771125,0.38079482,0.62819105,0.19282193,0.2234892,0.0069464985,0.23041365
