model,split,horizon_min,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
step6_v2_no_attn,test,30,86.55560458958517,10.30008826125331,3.144307149161518,39227,4668,1425,45320
step6_v2_no_attn,test,60,80.81641659311562,13.841571050308914,5.342012356575464,36626,6273,2421,45320
step6_v2_no_attn,test,90,77.99646954986761,15.251544571932921,6.751985878199471,35348,6912,3060,45320
step6_v2_no_attn,val,30,87.07263778224116,10.115434701039575,2.8119275167192708,39450,4583,1274,45307
step6_v2_no_attn,val,60,81.14419405389896,13.821263822367404,5.034542123733639,36764,6262,2281,45307
step6_v2_no_attn,val,90,78.25280861677004,15.406007901648751,6.341183481581212,35454,6980,2873,45307
step6_v2_no_moddrop,test,30,87.54192409532216,9.750661959399823,2.707413945278023,39674,4419,1227,45320
step6_v2_no_moddrop,test,60,81.1098852603707,13.689320388349515,5.2007943512797885,36759,6204,2357,45320
step6_v2_no_moddrop,test,90,78.53486319505737,14.913945278022949,6.551191526919682,35592,6759,2969,45320
step6_v2_no_moddrop,val,30,88.19608449025537,9.749045401372856,2.054870108371775,39959,4417,931,45307
step6_v2_no_moddrop,val,60,81.59886993179862,13.94707219634935,4.454057871852032,36970,6319,2018,45307
step6_v2_no_moddrop,val,90,78.71852031694881,15.534023440086521,5.747456242964663,35665,7038,2604,45307
step6_v2_pers_resid,test,30,90.13459841129745,7.36540158870256,2.5,40849,3338,1133,45320
step6_v2_pers_resid,test,60,80.46337157987644,13.629744042365402,5.906884377758164,36466,6177,2677,45320
step6_v2_pers_resid,test,90,75.91791703442189,15.933362753751103,8.148720211827008,34406,7221,3693,45320
step6_v2_pers_resid,val,30,91.01684066479794,7.005539982784117,1.9776193524179486,41237,3174,896,45307
step6_v2_pers_resid,val,60,81.30973138808572,13.373209437835213,5.317059174079061,36839,6059,2409,45307
step6_v2_pers_resid,val,90,77.052111152802,15.825369148255236,7.122519698942768,34910,7170,3227,45307
step6_v2_smaller,test,30,85.6045895851721,11.240070609002649,3.1553398058252426,38796,5094,1430,45320
step6_v2_smaller,test,60,79.54766107678729,14.96910856134157,5.483230361871138,36051,6784,2485,45320
step6_v2_smaller,test,90,76.67255075022065,16.403353927625773,6.924095322153574,34748,7434,3138,45320
step6_v2_smaller,val,30,86.0573421325623,11.029200785750547,2.9134570816871563,38990,4997,1320,45307
step6_v2_smaller,val,60,80.00529719469398,14.889531418986028,5.105171386319995,36248,6746,2313,45307
step6_v2_smaller,val,90,76.67468603085617,16.964266007460218,6.361047961683625,34739,7686,2882,45307
