hour,glucose_mean,glucose_median,hypo_pct,hyper_pct,n
0.0,144.32439145457707,132.0,6.17399438727783,23.479887745556596,1069
0.08333333333333333,144.2634789824969,132.3469387755102,6.361085126286249,23.10570626753976,1069
0.16666666666666666,143.98756806950624,132.33333333333334,6.26753975678204,23.10570626753976,1069
0.25,143.62080514048145,132.0,6.635514018691589,23.08411214953271,1070
0.3333333333333333,143.34455589359172,132.33333333333334,6.261682242990655,23.08411214953271,1070
0.4166666666666667,142.98494555919132,131.66666666666666,6.16822429906542,23.08411214953271,1070
0.5,142.56972774815543,131.0,5.700934579439252,22.242990654205606,1070
0.5833333333333334,142.14903715017132,131.0,5.322128851540616,22.03548085901027,1071
0.6666666666666666,141.55301136584058,131.33333333333334,5.322128851540616,21.008403361344538,1071
0.75,140.88602386348927,131.0,5.415499533146592,20.448179271708682,1071
0.8333333333333334,140.66413559827737,130.0,5.135387488328664,20.354808590102706,1071
0.9166666666666666,140.38902604455004,130.66666666666666,5.322128851540616,20.821661998132587,1071
1.0,140.00140481948756,131.0,6.069094304388422,19.514472455648928,1071
1.0833333333333333,139.797185155221,130.66666666666666,6.2558356676003735,19.234360410831002,1071
1.1666666666666667,139.5574846319442,130.66666666666666,6.349206349206349,19.327731092436977,1071
1.25,139.30284479961043,131.0,6.629318394024277,18.860877684407097,1071
1.3333333333333333,139.07624071758542,129.76190476190476,6.2558356676003735,19.234360410831002,1071
1.4166666666666667,138.7772743573158,129.33333333333334,6.349206349206349,19.047619047619047,1071
1.5,138.48204282431044,129.0,6.629318394024277,18.39402427637722,1071
1.5833333333333335,138.33963276145235,129.29166666666666,6.2558356676003735,18.11391223155929,1071
1.6666666666666665,138.1057194306204,129.0,6.162464985994398,18.487394957983195,1071
1.75,137.8970161838221,129.0,6.629318394024277,18.207282913165265,1071
1.8333333333333335,137.82558858802489,129.33333333333334,6.442577030812324,18.11391223155929,1071
1.9166666666666665,137.75602840585984,130.0,6.629318394024277,18.020541549953315,1071
2.0,137.6197081863465,130.0,6.629318394024277,18.11391223155929,1071
2.0833333333333335,137.5679039191836,130.0,6.909430438842204,18.020541549953315,1071
2.1666666666666665,137.40592224772567,130.0,7.002801120448179,18.020541549953315,1071
2.25,137.16100694619468,130.0,7.096171802054155,17.74042950513539,1071
2.3333333333333335,137.27258757636972,130.33333333333334,7.18954248366013,18.30065359477124,1071
2.4166666666666665,137.30667054081178,129.82051282051282,7.002801120448179,18.58076563958917,1071
2.5,137.37740498176487,130.0,7.469654528478058,18.487394957983195,1071
2.5833333333333335,137.41939302014606,130.0,7.376283846872083,19.327731092436977,1071
2.6666666666666665,137.4949945039054,130.0,7.8431372549019605,19.607843137254903,1071
2.75,137.61167908757133,130.0,8.029878618113912,19.327731092436977,1071
2.8333333333333335,137.5932751801731,130.0,8.216619981325863,19.234360410831002,1071
2.9166666666666665,137.64536613738736,129.66666666666666,8.123249299719888,19.234360410831002,1071
3.0,137.71239640365854,130.0,7.8431372549019605,19.327731092436977,1071
3.0833333333333335,137.78812175290125,130.33333333333334,8.216619981325863,19.981325863678805,1071
3.1666666666666665,137.8619796885118,129.47826086956522,8.403361344537815,19.981325863678805,1071
3.25,137.94610839909902,129.0,8.403361344537815,19.981325863678805,1071
3.3333333333333335,138.07583070124892,129.33333333333334,8.403361344537815,20.26143790849673,1071
3.4166666666666665,138.06643068780588,129.66666666666666,8.49673202614379,19.70121381886088,1071
3.5,138.1625395445776,130.0,8.403361344537815,20.07469654528478,1071
3.5833333333333335,138.22227496308517,130.0,8.683473389355742,20.26143790849673,1071
3.6666666666666665,138.3193586542351,130.0,8.683473389355742,20.168067226890756,1071
3.75,138.47900070206106,130.0,8.683473389355742,20.448179271708682,1071
3.8333333333333335,138.59410385688872,130.66666666666666,8.776844070961717,20.168067226890756,1071
3.9166666666666665,138.76989795476027,130.33333333333334,8.683473389355742,20.448179271708682,1071
4.0,139.00264816841147,130.0,8.403361344537815,20.915032679738562,1071
