alpha,val_mae_avg,val_mae_30m,val_mae_60m,val_mae_90m
0.1,21.68145179748535,14.468290328979492,22.00238609313965,28.57368278503418
1.0,21.92171287536621,15.059897422790527,22.106822967529297,28.598417282104492
10.0,22.10520362854004,15.450698852539062,22.215261459350586,28.649646759033203
100.0,22.23708152770996,15.651288986206055,22.355592727661133,28.704357147216797
1000.0,22.493242263793945,15.904888153076172,22.671424865722656,28.903417587280273
10000.0,22.748031616210938,15.99412727355957,22.998863220214844,29.251110076904297
