model,split,horizon_min,zone,n_samples,metric,value
gru_c2_zwh30a,val,90,hypo,3663,rmse,32.650543212890625
gru_c2_zwh30a,val,90,tir,32048,mae,24.069894790649414
gru_c2_zwh30a,val,90,tir,32048,rmse,32.330379486083984
gru_c2_zwh30a,val,90,hyper,9671,mae,42.635108947753906
gru_c2_zwh30a,val,90,hyper,9671,rmse,55.13136672973633
gru_c2_zwh30a,test,30,hypo,3631,mae,12.378259658813477
gru_c2_zwh30a,test,30,hypo,3631,rmse,15.825213432312012
gru_c2_zwh30a,test,30,tir,32470,mae,14.777463912963867
gru_c2_zwh30a,test,30,tir,32470,rmse,19.74504280090332
gru_c2_zwh30a,test,30,hyper,9294,mae,19.294878005981445
gru_c2_zwh30a,test,30,hyper,9294,rmse,25.350557327270508
gru_c2_zwh30a,test,60,hypo,3629,mae,17.556190490722656
gru_c2_zwh30a,test,60,hypo,3629,rmse,25.159364700317383
gru_c2_zwh30a,test,60,tir,32479,mae,19.855514526367188
gru_c2_zwh30a,test,60,tir,32479,rmse,27.409759521484375
gru_c2_zwh30a,test,60,hyper,9287,mae,28.47245216369629
gru_c2_zwh30a,test,60,hyper,9287,rmse,38.05693817138672
gru_c2_zwh30a,test,90,hypo,3625,mae,25.705745697021484
gru_c2_zwh30a,test,90,hypo,3625,rmse,36.9988899230957
gru_c2_zwh30a,test,90,tir,32493,mae,23.65975570678711
gru_c2_zwh30a,test,90,tir,32493,rmse,32.54452896118164
gru_c2_zwh30a,test,90,hyper,9277,mae,39.203208923339844
gru_c2_zwh30a,test,90,hyper,9277,rmse,51.24302673339844
