model,split,horizon_min,zone,n_samples,metric,value
lstm_phase_c1,val,30,hypo,3669,mae,20.792884826660156
lstm_phase_c1,val,30,hypo,3669,rmse,24.11705207824707
lstm_phase_c1,val,30,tir,32039,mae,13.939430236816406
lstm_phase_c1,val,30,tir,32039,rmse,18.50174331665039
lstm_phase_c1,val,30,hyper,9674,mae,22.785276412963867
lstm_phase_c1,val,30,hyper,9674,rmse,29.907636642456055
lstm_phase_c1,val,60,hypo,3664,mae,24.972017288208008
lstm_phase_c1,val,60,hypo,3664,rmse,30.03766632080078
lstm_phase_c1,val,60,tir,32044,mae,18.654897689819336
lstm_phase_c1,val,60,tir,32044,rmse,25.482208251953125
lstm_phase_c1,val,60,hyper,9674,mae,31.732301712036133
lstm_phase_c1,val,60,hyper,9674,rmse,41.76582336425781
lstm_phase_c1,val,90,hypo,3663,mae,30.3919734954834
lstm_phase_c1,val,90,hypo,3663,rmse,38.20793151855469
lstm_phase_c1,val,90,tir,32048,mae,23.339214324951172
lstm_phase_c1,val,90,tir,32048,rmse,31.653244018554688
lstm_phase_c1,val,90,hyper,9671,mae,42.07941818237305
lstm_phase_c1,val,90,hyper,9671,rmse,54.222633361816406
lstm_phase_c1,test,30,hypo,3631,mae,20.072154998779297
lstm_phase_c1,test,30,hypo,3631,rmse,23.535696029663086
lstm_phase_c1,test,30,tir,32470,mae,14.28803825378418
lstm_phase_c1,test,30,tir,32470,rmse,19.27756118774414
lstm_phase_c1,test,30,hyper,9294,mae,23.148681640625
lstm_phase_c1,test,30,hyper,9294,rmse,30.493249893188477
lstm_phase_c1,test,60,hypo,3629,mae,24.948078155517578
lstm_phase_c1,test,60,hypo,3629,rmse,30.578083038330078
lstm_phase_c1,test,60,tir,32479,mae,18.83525848388672
lstm_phase_c1,test,60,tir,32479,rmse,26.242931365966797
lstm_phase_c1,test,60,hyper,9287,mae,31.132295608520508
lstm_phase_c1,test,60,hyper,9287,rmse,40.90447235107422
lstm_phase_c1,test,90,hypo,3625,mae,31.116992950439453
lstm_phase_c1,test,90,hypo,3625,rmse,39.809383392333984
lstm_phase_c1,test,90,tir,32493,mae,23.123699188232422
lstm_phase_c1,test,90,tir,32493,rmse,31.98737907409668
lstm_phase_c1,test,90,hyper,9277,mae,40.981075286865234
lstm_phase_c1,test,90,hyper,9277,rmse,52.58667755126953
gru_phase_c1,val,30,hypo,3669,mae,14.085758209228516
gru_phase_c1,val,30,hypo,3669,rmse,17.697668075561523
gru_phase_c1,val,30,tir,32039,mae,13.583192825317383
gru_phase_c1,val,30,tir,32039,rmse,18.00133514404297
gru_phase_c1,val,30,hyper,9674,mae,22.549938201904297
gru_phase_c1,val,30,hyper,9674,rmse,29.686201095581055
gru_phase_c1,val,60,hypo,3664,mae,21.10964012145996
gru_phase_c1,val,60,hypo,3664,rmse,27.356117248535156
gru_phase_c1,val,60,tir,32044,mae,19.156160354614258
gru_phase_c1,val,60,tir,32044,rmse,25.869369506835938
gru_phase_c1,val,60,hyper,9674,mae,31.443195343017578
gru_phase_c1,val,60,hyper,9674,rmse,41.53915023803711
gru_phase_c1,val,90,hypo,3663,mae,29.410717010498047
gru_phase_c1,val,90,hypo,3663,rmse,37.71393585205078
gru_phase_c1,val,90,tir,32048,mae,23.28424835205078
gru_phase_c1,val,90,tir,32048,rmse,31.24321937561035
gru_phase_c1,val,90,hyper,9671,mae,41.921451568603516
gru_phase_c1,val,90,hyper,9671,rmse,53.85508728027344
gru_phase_c1,test,30,hypo,3631,mae,13.789000511169434
gru_phase_c1,test,30,hypo,3631,rmse,17.509761810302734
gru_phase_c1,test,30,tir,32470,mae,13.523502349853516
gru_phase_c1,test,30,tir,32470,rmse,18.4791259765625
gru_phase_c1,test,30,hyper,9294,mae,21.752437591552734
gru_phase_c1,test,30,hyper,9294,rmse,28.979473114013672
gru_phase_c1,test,60,hypo,3629,mae,21.34231185913086
gru_phase_c1,test,60,hypo,3629,rmse,28.746782302856445
gru_phase_c1,test,60,tir,32479,mae,18.853639602661133
gru_phase_c1,test,60,tir,32479,rmse,26.279239654541016
gru_phase_c1,test,60,hyper,9287,mae,30.092979431152344
gru_phase_c1,test,60,hyper,9287,rmse,39.853702545166016
gru_phase_c1,test,90,hypo,3625,mae,31.123708724975586
gru_phase_c1,test,90,hypo,3625,rmse,41.09938049316406
gru_phase_c1,test,90,tir,32493,mae,22.68083953857422
gru_phase_c1,test,90,tir,32493,rmse,31.20066261291504
gru_phase_c1,test,90,hyper,9277,mae,40.23439407348633
gru_phase_c1,test,90,hyper,9277,rmse,51.63325500488281
