model,horizon_min,test_pooled_mae,test_hypo_mae,delta_pooled_vs_gbm_300,delta_pooled_vs_zwh30a,delta_hypo_vs_persistence,delta_hypo_vs_gbm_300,delta_hypo_vs_zwh30a
step6_hybrid,30,12.2089262008667,9.423895835876465,1.8089262008666989,-3.3010737991333006,0.36389583587646435,-0.9961041641235351,-2.956104164123536
step6_hybrid,60,19.733959197998047,18.337879180908203,-0.0360408020019527,-1.6960408020019528,-0.002120819091796733,-8.412120819091797,0.7778791809082044
step6_hybrid,90,26.090734481811523,28.54462242126465,-0.17926551818847614,-0.9092655181884766,1.2846224212646469,-12.17537757873535,2.8346224212646476
