model,split,horizon_min,glycaemic_zone,AP_pct,BE_pct,EP_pct,AP_n,BE_n,EP_n,n_total
step6_v3_seq2seq,test,30,hyper,91.64420485175202,6.684636118598383,1.6711590296495957,8500,620,155,9275
step6_v3_seq2seq,test,30,hypo,81.90344827586208,0.0,18.09655172413793,2969,0,656,3625
step6_v3_seq2seq,test,30,tir,89.4386181369525,9.395434916718076,1.1659469463294263,28996,3046,378,32420
step6_v3_seq2seq,test,60,hyper,84.46339883394515,11.768516519110344,3.7680846469445046,7823,1090,349,9262
step6_v3_seq2seq,test,60,hypo,56.574585635359114,0.0,43.425414364640886,2048,0,1572,3620
step6_v3_seq2seq,test,60,tir,80.27313644491029,17.239040631358282,2.487822923731426,26039,5592,807,32438
step6_v3_seq2seq,test,90,hyper,81.32093827694304,13.371527402442979,5.307534320613987,7523,1237,491,9251
step6_v3_seq2seq,test,90,hypo,38.270240397899975,0.027631942525559547,61.702127659574465,1385,1,2233,3619
step6_v3_seq2seq,test,90,tir,76.74884437596302,20.326656394453003,2.9244992295839753,24905,6596,949,32450
step6_v3_seq2seq,val,30,hyper,91.49730402322687,6.802156781418499,1.7005391953546247,8824,656,164,9644
step6_v3_seq2seq,val,30,hypo,88.0971880971881,0.0273000273000273,11.875511875511876,3227,1,435,3663
step6_v3_seq2seq,val,30,tir,89.740625,9.34375,0.915625,28717,2990,293,32000
step6_v3_seq2seq,val,60,hyper,83.39900456242223,12.339278307756118,4.261717129821651,8043,1190,411,9644
step6_v3_seq2seq,val,60,hypo,65.52761071623839,0.0,34.472389283761615,2397,0,1261,3658
step6_v3_seq2seq,val,60,tir,80.91235744414935,16.819246992657398,2.268395563193251,25896,5383,726,32005
step6_v3_seq2seq,val,90,hyper,79.72832849440066,14.869348817917876,5.40232268768146,7689,1434,521,9644
step6_v3_seq2seq,val,90,hypo,49.30270713699754,0.0,50.69729286300246,1803,0,1854,3657
step6_v3_seq2seq,val,90,tir,76.60126226332562,20.908579641317253,2.4901580953571205,24517,6692,797,32006
