model,split,horizon_min,mae,rmse,mae_pat_avg,rmse_pat_avg,clarke_pct_A,clarke_pct_B,clarke_pct_C,clarke_pct_D,clarke_pct_E
lstm_phase_c1,val,30,16.37916374206543,21.894380569458008,18.464493255615235,24.000804634094237,80.25648935701379,14.252346745405667,0.015424617689832974,5.471332246265039,0.004407033625666564
lstm_phase_c1,val,60,21.95261001586914,30.053131103515625,25.134261779785156,32.826370010375975,69.47468159182054,23.994094574941606,0.171874311400996,6.330703803270019,0.028645718566832665
lstm_phase_c1,val,90,27.902055740356445,38.1040153503418,31.560185470581054,41.07617164611816,59.39359217310828,33.02630999074523,0.42087171125115685,7.038032700189502,0.1211934247058305
lstm_phase_c1,test,30,16.564786911010742,22.371700286865234,19.198593978881835,24.858750686645507,79.20696111906598,15.51272166538165,0.026434629364467454,5.253882586187906,0.0
lstm_phase_c1,test,60,21.83968734741211,30.16274642944336,25.442785453796386,33.401601486206054,69.50765502808679,24.15684546756251,0.18504240555127216,6.119616697874215,0.03084040092521203
lstm_phase_c1,test,90,27.41136360168457,37.73685836791992,32.07760944366455,41.872682113647464,61.20277563608327,31.472629144178875,0.48904064324264784,6.6879612292102655,0.14759334728494328
gru_phase_c1,val,30,15.535249710083008,21.022695541381836,17.021117515563965,22.38379955291748,83.60583491252038,14.027588030496673,0.013221100876999691,2.344541888854612,0.008814067251333128
gru_phase_c1,val,60,21.933082580566406,30.01296043395996,25.172667732238768,32.76646003723145,69.60028205015205,25.31179762901591,0.13661804239566347,4.913842492618219,0.037459785818165794
gru_phase_c1,val,90,27.750370025634766,37.712223052978516,31.974033737182616,41.12580493927002,59.52800669869111,33.47582742056322,0.34815565642765856,6.544444934114847,0.10356529020316425
gru_phase_c1,test,30,15.229500770568848,20.993194580078125,17.10255977630615,22.52541934967041,84.17226566802512,13.812093842934244,0.03304328670558432,1.9825972023350589,0.0
gru_phase_c1,test,60,21.35195541381836,29.750802993774414,25.31063934326172,33.17085567474365,71.56294746117413,23.89910783125895,0.19385394867276132,4.315453243749311,0.02863751514483974
gru_phase_c1,test,90,26.94231414794922,37.1014289855957,32.64825439453125,42.314183654785154,62.27778389690494,31.11355876197819,0.4273598413922238,6.022689723537835,0.15860777618680472
