participant_id,lag_steps,lag_minutes,pacf
HUPA0001P,1,5,0.9298911687900445
HUPA0001P,2,10,0.3988339706066519
HUPA0001P,3,15,0.6741899485401842
HUPA0001P,4,20,-0.7008979959427694
HUPA0001P,5,25,-0.1290413596180142
HUPA0001P,6,30,-0.022508752636764433
HUPA0001P,7,35,0.042751593826851175
HUPA0001P,8,40,-0.01813333735715978
HUPA0001P,9,45,0.0007668521646078927
HUPA0001P,10,50,-0.016425960663295477
HUPA0001P,11,55,0.0029119505918520664
HUPA0001P,12,60,0.04387979100683967
HUPA0001P,13,65,-0.028786567083282366
HUPA0001P,14,70,0.014977691374635524
HUPA0001P,15,75,0.017207163743248908
HUPA0001P,16,80,-0.027011998998026164
HUPA0001P,17,85,0.01052616036957139
HUPA0001P,18,90,0.03595349631330139
HUPA0001P,19,95,-0.025948972762527577
HUPA0001P,20,100,-0.00014969787967363497
HUPA0001P,21,105,0.027623783195930018
HUPA0001P,22,110,-0.022988302454085514
HUPA0001P,23,115,-0.0031854670456277177
HUPA0001P,24,120,0.027573818659335916
HUPA0001P,25,125,-0.013193538565322743
HUPA0001P,26,130,0.017342729066740968
HUPA0001P,27,135,0.02410128480834774
HUPA0001P,28,140,-0.012256506251190832
HUPA0001P,29,145,-0.004613032948945226
HUPA0001P,30,150,0.01597476752038617
HUPA0001P,31,155,-0.02023987691908252
HUPA0001P,32,160,-0.013755427964115887
HUPA0001P,33,165,-0.0291464474544017
HUPA0001P,34,170,0.010205678491388318
HUPA0001P,35,175,0.00224193681942075
HUPA0001P,36,180,-0.010060527498412755
HUPA0001P,37,185,-0.011438805457872354
HUPA0001P,38,190,-0.010322367552870318
HUPA0001P,39,195,-0.0010201690088634573
HUPA0001P,40,200,-0.002284323840342368
HUPA0001P,41,205,0.00398817903242039
HUPA0001P,42,210,0.019793211175473495
HUPA0001P,43,215,0.017135313356984
HUPA0001P,44,220,0.0017923231381067118
HUPA0001P,45,225,-0.006604478701741687
HUPA0001P,46,230,0.01288501682354201
HUPA0001P,47,235,0.01204332455523407
HUPA0001P,48,240,0.005233250799604708
HUPA0001P,49,245,0.0068798985947424165
HUPA0001P,50,250,0.02366657864266234
HUPA0001P,51,255,0.04448172745667191
HUPA0001P,52,260,-0.0009610500974382403
HUPA0001P,53,265,-0.010622613601198027
HUPA0001P,54,270,0.0065923440659793765
HUPA0001P,55,275,-0.030643065583204874
HUPA0001P,56,280,0.0191732843657701
HUPA0001P,57,285,-0.011226389506744644
HUPA0001P,58,290,0.0007325418972022556
HUPA0001P,59,295,-0.02021564281484753
HUPA0001P,60,300,0.013764131914441848
HUPA0001P,61,305,0.008149159330531284
HUPA0001P,62,310,0.018115921465506286
HUPA0001P,63,315,0.012440457795246848
HUPA0001P,64,320,0.0051376373433632
HUPA0001P,65,325,0.021701057954297814
HUPA0001P,66,330,0.013321634985666991
HUPA0001P,67,335,0.01083563360041982
HUPA0001P,68,340,-0.0028316744708377153
HUPA0001P,69,345,0.004613538653679485
HUPA0001P,70,350,0.009956411220132178
HUPA0001P,71,355,0.0007817736298408141
HUPA0001P,72,360,0.011603127972422937
HUPA0002P,1,5,0.9978159322530485
HUPA0002P,2,10,-0.8551050170243814
HUPA0002P,3,15,0.014151213771080595
HUPA0002P,4,20,0.06279388712908024
HUPA0002P,5,25,-0.08978892130430507
HUPA0002P,6,30,0.02358306557121687
HUPA0002P,7,35,0.050966932249669805
HUPA0002P,8,40,-0.09467969751950432
HUPA0002P,9,45,0.015379472806992263
HUPA0002P,10,50,0.03799642318219361
HUPA0002P,11,55,-0.033104323750854335
HUPA0002P,12,60,0.030103351037414666
HUPA0002P,13,65,0.03908512860772058
HUPA0002P,14,70,-0.09550901597299215
HUPA0002P,15,75,0.02587452387628883
HUPA0002P,16,80,0.02958488484643632
HUPA0002P,17,85,-0.07276360353853929
HUPA0002P,18,90,0.012480839440241644
HUPA0002P,19,95,0.021188499109019866
HUPA0002P,20,100,-0.021308483334780765
HUPA0002P,21,105,0.02229276990974297
HUPA0002P,22,110,0.022983682329120524
HUPA0002P,23,115,-0.06905516017168234
HUPA0002P,24,120,0.0016209025976450522
HUPA0002P,25,125,0.013035307169432703
HUPA0002P,26,130,-0.007171975991734613
HUPA0002P,27,135,0.006305545149068081
HUPA0002P,28,140,0.01355886920066222
HUPA0002P,29,145,-0.04515763812076983
