model,split,horizon_min,mae,rmse,mae_pat_avg,rmse_pat_avg,clarke_pct_A,clarke_pct_B,clarke_pct_C,clarke_pct_D,clarke_pct_E
gbm_lr0.05_d8,val,30,10.284224510192871,15.051069259643555,11.861080923080443,16.43587345123291,92.04750782248469,6.315279185580186,0.013221100876999691,1.6129743069939624,0.01101758406416641
gbm_lr0.05_d8,val,60,19.655025482177734,27.27098846435547,22.840915908813475,30.133578720092775,73.98087347406461,20.334053148825525,0.06830902119783173,5.592525670970869,0.0242386849411661
gbm_lr0.05_d8,val,90,26.331331253051758,35.63737106323242,30.268202209472655,39.05972717285156,61.99814904587722,30.157331100436295,0.18729892909082896,7.577894319333656,0.07932660526199815
gbm_lr0.05_d8,test,30,10.400732040405273,15.029744148254395,12.10807092666626,16.81551456451416,91.26776076660425,6.791496860887763,0.0,1.9407423725079855,0.0
gbm_lr0.05_d8,test,60,19.76938819885254,27.218576431274414,23.584464111328124,31.25434860229492,72.78554906928076,20.737966736424717,0.05727503028967948,6.408194735102985,0.011014428901861438
gbm_lr0.05_d8,test,90,26.268884658813477,35.35921859741211,31.49169288635254,41.00087829589844,61.10805154752726,30.230201564048905,0.16521643352792156,8.443661196166978,0.05286925872893491
gbm_lr0.05_d8_iter1000,val,30,10.383304595947266,15.07546329498291,11.926092109680177,16.45708600997925,91.93292494821735,6.365960072275351,0.013221100876999691,1.679079811378961,0.008814067251333128
gbm_lr0.05_d8_iter1000,val,60,19.845693588256836,27.429855346679688,23.107921409606934,30.474386711120605,73.50050680886694,20.80780926358468,0.07051253801066502,5.59913622140937,0.02203516812833282
gbm_lr0.05_d8_iter1000,val,90,26.414875030517578,35.81499099731445,30.503142738342284,39.53872169494629,61.68524965845489,30.545150059494954,0.23577629897316116,7.450090344189326,0.08373363888766472
gbm_lr0.05_d8_iter1000,test,30,10.48664379119873,15.070629119873047,12.239491481781005,16.969475860595704,91.18184822116973,6.712192972794361,0.0,2.105958806035907,0.0
gbm_lr0.05_d8_iter1000,test,60,20.06686782836914,27.514982223510742,23.925564041137694,31.7028572845459,72.04537944707567,21.475933472849434,0.0704923449719132,6.390571648860006,0.0176230862429783
gbm_lr0.05_d8_iter1000,test,90,26.604570388793945,35.7435188293457,32.058453674316404,41.692222595214844,60.74016962220509,30.758894151338254,0.18504240555127216,8.240995704372729,0.07489811653265778
