timestep,glucose,heart_rate,basal_rate,glucose_30m_mean,glucose_60m_mean,glucose_120m_mean,glucose_60m_std,glucose_velocity,bolus_60m_sum,steps_150m_sum,heart_rate_30m_mean,insulin_on_board,carbs_on_board,hour_sin,hour_cos,glucose_low_cap,basal_coverage_24h
0,0.24170099,0.17655073,0.07944433,0.21314652,0.14653897,0.19084275,0.16716102,0.42816427,0.12613572,0.1643175,0.22486193,0.13910846,0.088954784,0.20972618,0.14436615,0.011468624,0.12815978
1,0.29225168,0.22196317,0.14669856,0.356828,0.1565681,0.2658956,0.24330693,0.83164066,0.15462498,0.22919971,0.2617629,0.1413743,0.12208586,0.2841235,0.17564908,0.0062992466,0.2398405
2,0.37707222,0.24276118,0.22411728,0.38428172,0.121017605,0.3374956,0.34258258,0.86372966,0.16722377,0.25329885,0.25507706,0.124305256,0.15370256,0.2928739,0.22392657,0.010119621,0.29770583
3,0.39799654,0.23382205,0.23658839,0.42159447,0.11536096,0.31427965,0.3870713,0.80581677,0.17216052,0.2517488,0.25832307,0.14314462,0.20216513,0.29955843,0.28269503,0.0052275048,0.29739115
4,0.36254564,0.2061946,0.2057789,0.39268625,0.12126023,0.28139234,0.3251239,0.84749234,0.1615953,0.22883336,0.25344995,0.14317767,0.19360608,0.27387607,0.26288983,0.0020896033,0.25589502
5,0.37469837,0.19760075,0.16876681,0.39580536,0.124839246,0.2654506,0.29767427,0.7633166,0.14858736,0.211593,0.24870005,0.13704105,0.18212292,0.2538553,0.25742313,0.0020217164,0.23226929
6,0.40932143,0.19203909,0.15108201,0.40421778,0.13289388,0.26736128,0.28115532,0.79668975,0.16314116,0.20741642,0.2488533,0.13973626,0.18247117,0.24171703,0.2523336,0.0016018274,0.22371522
7,0.4318261,0.19339594,0.14291298,0.4227542,0.14076579,0.2711039,0.27621278,0.67349017,0.1800198,0.1978012,0.2524691,0.15389737,0.19442105,0.23236898,0.24401024,0.0010182655,0.22264758
8,0.4491973,0.19176301,0.14425957,0.43673992,0.14435424,0.2725635,0.2781987,0.7636334,0.18873823,0.19377334,0.26041362,0.16256869,0.19455664,0.22614202,0.23760766,0.0018622808,0.23099306
9,0.46323854,0.19289704,0.1469077,0.43384525,0.15889108,0.26909715,0.27646464,0.69543517,0.18920943,0.19516477,0.26384568,0.16431816,0.20145021,0.22875756,0.2343402,0.0039104293,0.23724538
10,0.48108816,0.20920695,0.1491716,0.43526784,0.16913418,0.27207112,0.26092622,0.6764204,0.190864,0.19923218,0.27117652,0.1775851,0.18904608,0.23451887,0.24144481,0.0038126386,0.2297974
11,0.4917771,0.22468175,0.14980894,0.440021,0.17021461,0.27771994,0.25204247,0.73650676,0.19502263,0.19971599,0.27786815,0.1797367,0.18872747,0.24002782,0.25077355,0.006727809,0.23163345
12,0.5048972,0.24623118,0.1533439,0.4503782,0.17112938,0.29808235,0.23974289,0.7989552,0.20486176,0.1974625,0.29887572,0.19758187,0.19189543,0.2570512,0.26369497,0.0052952464,0.23788406
13,0.52742785,0.27666596,0.1558681,0.46987298,0.17704743,0.3091568,0.23719421,0.8588002,0.21917458,0.19276737,0.33775496,0.22558911,0.20718245,0.2759502,0.2766818,0.005274946,0.23886304
14,0.57286876,0.27977708,0.16380896,0.5023421,0.19187194,0.30370533,0.23928256,0.9157723,0.23539184,0.1992435,0.3629425,0.23883283,0.21609187,0.28780246,0.2847645,0.0067982334,0.24816161
15,0.5960114,0.29940006,0.16571452,0.5446467,0.2089521,0.3045778,0.23663849,1.0243055,0.25918278,0.20895699,0.38165337,0.23993261,0.21215536,0.30180347,0.29685152,0.006174958,0.2638745
16,0.60964155,0.29916704,0.18010172,0.567028,0.22335953,0.31185797,0.23455131,1.1237686,0.28417602,0.22445995,0.4004021,0.25849265,0.22217435,0.326551,0.3187562,0.008341523,0.27645496
17,0.6400123,0.326876,0.2072462,0.53446025,0.23106816,0.3500257,0.23341481,1.1238474,0.3082656,0.23203732,0.45981556,0.3351199,0.24636923,0.36111328,0.36310986,0.009699865,0.29417282
18,0.68371403,0.36490235,0.24309623,0.4945663,0.27026662,0.40925446,0.26304057,1.0790372,0.3249366,0.2542268,0.6360202,0.5102376,0.31132248,0.41570696,0.4094849,0.010527451,0.33929217
19,0.8021565,0.44178176,0.30483556,0.5507241,0.3836329,0.46856523,0.27847907,1.5291045,0.3389271,0.2868261,0.9602488,0.7228274,0.4521475,0.48164728,0.44821903,0.0055524283,0.49216762
20,1.1336967,0.5308274,0.3285062,0.7268738,0.6242848,0.51617116,0.32093608,2.3432357,0.35564286,0.31225157,1.1454364,0.7633804,0.54859215,0.51195085,0.45920226,0.0052693775,0.7045764
21,1.769926,0.5552035,0.3130812,1.5397428,0.9810906,0.593771,0.3823275,2.0011797,0.35307238,0.29845673,0.68113357,0.3906811,0.32447913,0.47147715,0.49680632,0.0037248954,0.6180803
22,2.176447,0.6395856,0.31362224,2.3847072,0.89371675,0.7031096,0.3853196,2.9943774,0.3497028,0.45991597,0.7690709,0.5657444,0.37275097,0.3837816,0.5327587,0.0072406945,0.3872741
23,55.42896,0.58290756,0.6578067,2.6880245,0.6858007,1.3212277,0.44643062,8.256715,0.35760257,0.55721295,0.8510312,0.48971146,0.86112404,0.3625601,0.5197514,0.010171107,0.3639326
