aggregation,p50_abs_velocity,p90_abs_velocity,p95_abs_velocity,p99_abs_velocity,interpretation
Pooled intervals (row-weighted),1.6666666666666714,6.666666666666657,9.0,17.0,All 5-minute intervals are pooled; long-duration patients have more weight.
Mean of patient-level quantiles,2.4224304761904762,8.867703703703706,11.768794326241132,19.82026666666665,Each patient contributes one quantile value; mean summarises the 25 patients.
Median of patient-level quantiles,2.3333333333333144,7.666666666666657,10.0,16.0,Each patient contributes one quantile value; median is robust to outlier patients.
