model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
gru_c2_zw,val,30,mae,18.107798919677734,4.612841058886576,25
gru_c2_zw,val,30,rmse,23.428337478637694,5.433417821239384,25
gru_c2_zw,val,60,mae,25.407768630981444,7.0059657889765985,25
gru_c2_zw,val,60,rmse,32.99904685974121,8.73925541509802,25
gru_c2_zw,val,90,mae,32.11255989074707,9.309241923943077,25
gru_c2_zw,val,90,rmse,41.54881141662597,11.70656134122486,25
gru_c2_zw,test,30,mae,18.61077465057373,5.342907924338348,25
gru_c2_zw,test,30,rmse,23.948318634033203,6.294388910671328,25
gru_c2_zw,test,60,mae,25.484230575561522,6.784417369411093,25
gru_c2_zw,test,60,rmse,33.33187767028809,8.282788905568648,25
gru_c2_zw,test,90,mae,32.34151630401611,9.005384099178727,25
gru_c2_zw,test,90,rmse,42.19001708984375,11.010829264931239,25
gru_c2_zwh30,val,30,mae,17.673962593078613,5.221076371091171,25
gru_c2_zwh30,val,30,rmse,23.0113285446167,6.222709371121529,25
gru_c2_zwh30,val,60,mae,25.33254207611084,7.3517311410657085,25
gru_c2_zwh30,val,60,rmse,33.023622360229496,9.143147443888514,25
gru_c2_zwh30,val,90,mae,32.174044647216796,9.621185259070055,25
gru_c2_zwh30,val,90,rmse,41.571981048583986,12.025207344959117,25
gru_c2_zwh30,test,30,mae,18.059144859313964,5.767877688727377,25
gru_c2_zwh30,test,30,rmse,23.333488845825194,7.083580718779271,25
gru_c2_zwh30,test,60,mae,25.475701446533204,7.164203812854201,25
gru_c2_zwh30,test,60,rmse,33.428539505004885,8.894518946710262,25
gru_c2_zwh30,test,90,mae,32.49517166137695,9.015963810800171,25
gru_c2_zwh30,test,90,rmse,42.439729080200195,11.075002763254528,25
gru_c2_zwh30a,val,30,mae,17.537803688049316,5.029567302540465,25
gru_c2_zwh30a,val,30,rmse,22.88687469482422,5.492287016135128,25
gru_c2_zwh30a,val,60,mae,24.999067726135255,6.9476228714994495,25
gru_c2_zwh30a,val,60,rmse,32.853925247192386,8.51941916341788,25
gru_c2_zwh30a,val,90,mae,31.819392852783203,9.330203142847056,25
gru_c2_zwh30a,val,90,rmse,41.4785489654541,11.765064911842643,25
gru_c2_zwh30a,test,30,mae,17.3155500793457,4.7895397880929655,25
gru_c2_zwh30a,test,30,rmse,22.5149222946167,5.884817018675047,25
gru_c2_zwh30a,test,60,mae,24.719298210144043,6.608253632433786,25
gru_c2_zwh30a,test,60,rmse,32.737251663208006,8.193118182363042,25
gru_c2_zwh30a,test,90,mae,31.930565223693847,8.888401634213572,25
gru_c2_zwh30a,test,90,rmse,41.87921371459961,10.789201950907309,25
