model,split,horizon_min,metric,value,n_samples
gru_c2_zw,val,30,mae,16.815088272094727,45382
gru_c2_zw,val,30,rmse,22.219223022460938,45382
gru_c2_zw,val,60,mae,22.683256149291992,45382
gru_c2_zw,val,60,rmse,30.80476188659668,45382
gru_c2_zw,val,90,mae,28.61077117919922,45382
gru_c2_zw,val,90,rmse,38.7740592956543,45382
gru_c2_zw,test,30,mae,16.545276641845703,45395
gru_c2_zw,test,30,rmse,22.160701751708984,45395
gru_c2_zw,test,60,mae,22.229103088378906,45395
gru_c2_zw,test,60,rmse,30.5863037109375,45395
gru_c2_zw,test,90,mae,27.74976348876953,45395
gru_c2_zw,test,90,rmse,38.210391998291016,45395
gru_c2_zwh30,val,30,mae,15.924339294433594,45382
gru_c2_zwh30,val,30,rmse,21.485084533691406,45382
gru_c2_zwh30,val,60,mae,22.160261154174805,45382
gru_c2_zwh30,val,60,rmse,30.363813400268555,45382
gru_c2_zwh30,val,90,mae,28.200532913208008,45382
gru_c2_zwh30,val,90,rmse,38.2880744934082,45382
gru_c2_zwh30,test,30,mae,15.725833892822266,45395
gru_c2_zwh30,test,30,rmse,21.545896530151367,45395
gru_c2_zwh30,test,60,mae,21.593446731567383,45395
gru_c2_zwh30,test,60,rmse,30.087902069091797,45395
gru_c2_zwh30,test,90,mae,27.196941375732422,45395
gru_c2_zwh30,test,90,rmse,37.59672927856445,45395
gru_c2_zwh30a,val,30,mae,15.872363090515137,45382
gru_c2_zwh30a,val,30,rmse,21.124950408935547,45382
gru_c2_zwh30a,val,60,mae,21.94977569580078,45382
gru_c2_zwh30a,val,60,rmse,30.190073013305664,45382
gru_c2_zwh30a,val,90,mae,27.985069274902344,45382
gru_c2_zwh30a,val,90,rmse,38.36539840698242,45382
gru_c2_zwh30a,test,30,mae,15.510437965393066,45395
gru_c2_zwh30a,test,30,rmse,20.74772834777832,45395
gru_c2_zwh30a,test,60,mae,21.4345703125,45395
gru_c2_zwh30a,test,60,rmse,29.739511489868164,45395
gru_c2_zwh30a,test,90,mae,26.999622344970703,45395
gru_c2_zwh30a,test,90,rmse,37.47074890136719,45395
