model,split,horizon_min,metric,patient_avg,patient_sd,n_patients
step7_stacked_context,val,30,mae,11.22089898817229,3.5544687545054123,25
step7_stacked_context,val,30,rmse,16.062388858120688,4.6416174909251104,25
step7_stacked_context,val,60,mae,22.122010855476933,6.517942831100593,25
step7_stacked_context,val,60,rmse,29.706326636889397,8.185333996748763,25
step7_stacked_context,val,90,mae,30.027165764240248,8.261794838328537,25
step7_stacked_context,val,90,rmse,39.215654165520405,10.588143017438483,25
step7_stacked_context,test,30,mae,11.443291457387877,3.048355437222123,25
step7_stacked_context,test,30,rmse,16.3131912829915,3.802536178444833,25
step7_stacked_context,test,60,mae,22.424912848918595,6.235453658320737,25
step7_stacked_context,test,60,rmse,30.3944608678848,7.747945419487306,25
step7_stacked_context,test,90,mae,30.48955365347336,8.251501945129995,25
step7_stacked_context,test,90,rmse,40.3337580682441,10.131547585173816,25
