model,horizon_min,test_mae,gru_c1_mae,delta_vs_gru_c1,pct_vs_gru_c1,gbm_300_mae,delta_vs_gbm_300,pct_vs_gbm_300
gru_c2_zw,30,16.545276641845703,15.76,0.7852766418457033,4.982719808665631,10.4,6.145276641845703,59.089198479285606
gru_c2_zw,60,22.229103088378906,21.42,0.8091030883789045,3.7773253425719164,19.77,2.4591030883789067,12.438558868886732
gru_c2_zw,90,27.74976348876953,26.75,0.9997634887695312,3.7374336028767523,26.27,1.4797634887695317,5.632902507687597
gru_c2_zwh30,30,15.725833892822266,15.76,-0.03416610717773416,-0.21679002016328783,10.4,5.325833892822265,51.20994127713717
gru_c2_zwh30,60,21.593446731567383,21.42,0.1734467315673811,0.809741977438754,19.77,1.8234467315673832,9.223301626542153
gru_c2_zwh30,90,27.196941375732422,26.75,0.4469413757324219,1.6708088812426987,26.27,0.9269413757324223,3.528516847097154
gru_c2_zwh30a,30,15.510437965393066,15.76,-0.24956203460693338,-1.5835154480135367,10.4,5.110437965393066,49.13882659031794
gru_c2_zwh30a,60,21.4345703125,21.42,0.014570312499998295,0.06802200046684544,19.77,1.6645703125000004,8.419677857865455
gru_c2_zwh30a,90,26.999622344970703,26.75,0.24962234497070312,0.933167644750292,26.27,0.7296223449707036,2.777397582682541
